новый	1217.5	73	
915  	вероятный	16.5	5689	
916  	запасной	16.5	5693	
917  	парадный	16.5	5701	
918  	питерский	16.5	5703	
919  	прогрессивный	16.5	5706	
920  	видимый	16.4	5713	
921  	организованный	16.4	5728	
922  	пограничный	16.4	5730	
923  	декоративный	16.3	5746	
924  	добровольный	16.3	5748	
925  	латинский	16.3	5754	
926  	недоступный	16.3	5757	
927  	грузовой	16.2	5780	
928  	зрительный	16.2	5783	
929  	параллельный	16.2	5789	
930  	сознательный	16.2	5798	
931  	страстный	16.2	5799	
932  	умственный	16.2	5802	
933  	бетонный	16.1	5803	
934  	ответный	16.1	5817	
935  	рыбный	16.1	5822	
936  	ветхий	16.0	5831	
937  	лунный	16.0	5837	
938  	молоденький	16.0	5839	
939  	нелегкий	16.0	5841	
940  	неудачный	16.0	5842	
941  	ничтожный	16.0	5843	
942  	отдаленный	16.0	5846	
943  	последовательный	16.0	5853	
944  	фирменный	16.0	5862	
945  	экспертный	16.0	5865	
946  	абстрактный	15.9	5866	
947  	агрессивный	15.9	5867	
948  	вторичный	15.9	5869	
949  	оборонный	15.9	5880	
950  	персональный	15.9	5882	
951  	послевоенный	15.9	5886	
952  	блаженный	15.8	5896	
953  	лекарственный	15.8	5905	
954  	подозрительный	15.8	5911	
955  	сказочный	15.8	5913	
956  	столовый	15.8	5914	
957  	алюминиевый	15.7	5917	
958  	гибкий	15.7	5925	
959  	заданный	15.7	5929	
960  	капитальный	15.7	5932	
961  	металлургический	15.7	5934	
962  	тепловой	15.7	5946	
963  	благополучный	15.6	5950	
964  	интимный	15.6	5960	
965  	материнский	15.6	5961	
966  	оранжевый	15.6	5970	
967  	соленый	15.6	5983	
968  	зенитный	15.5	5995	
969  	линейный	15.5	6000	
970  	белорусский	15.4	6018	
971  	босой	15.4	6020	
972  	ежедневный	15.4	6021	
973  	пустынный	15.4	6031	
974  	огненный	15.3	6050	
975  	шелковый	15.3	6066	
976  	больничный	15.2	6068	
977  	бронзовый	15.2	6069	
978  	всяческий	15.2	6073	
979  	выходной	15.2	6075	
980  	заводской	15.2	6078	
981  	излишний	15.2	6080	
982  	пластиковый	15.2	6095	
983  	родительский	15.2	6099	
984  	убедительный	15.2	6107	
985  	кирпичный	15.1	6119	
986  	пространственный	15.1	6132	
987  	тоненький	15.1	6141	
988  	грядущий	15.0	6147	
989  	командный	15.0	6151	
990  	подмосковный	15.0	6158	
991  	сравнительный	15.0	6164	
992  	сходный	15.0	6165	
993  	беременный	14.9	6173	
994  	грамотный	14.9	6174	
995  	достоверный	14.9	6176	
996  	количественный	14.9	6178	
997  	конструктивный	14.9	6179	
998  	ударный	14.9	6200	
999  	героический	14.8	6206	
1000  	научно-технический	14.8	6217	
1001  	сонный	14.8	6231	
1002  	сытый	14.8	6232	
